# FRB name  RAJ      DECJ
FRB010125 19:06:53 -40:37:14
FRB010621 18:52:05 -08:29:35
FRB090625 03:07:47 -29:55:36
FRB110220 22:34:38 -12:23:45
FRB110523 21:45:12 -00:09:37
FRB110703 23:30:51 -02:52:24
FRB120127 23:15:06 -18:25:38
FRB121102 05:31:58  33:08:04
FRB130626 16:27:06 -07:27:48
FRB130628 09:03:02  03:26:16
FRB130729 13:41:21 -05:59:43
FRB140514 22:34:06 -12:18:46
FRB150418 07:16:35 -19:00:40
